"Datum";"Cas";"Cena_Spot";"Tarif";"Cena_Konecna";"Cena_Bat";"Sell";"Fix";"Plyn"
"2026-08-17";"00:00";"205";"NT";"269.30";"326.07";"194.67";"128.21";"65.00"
"2026-08-17";"00:05";"205";"NT";"269.30";"326.07";"194.67";"128.21";"65.00"
"2026-08-17";"00:10";"205";"NT";"269.30";"326.07";"194.67";"128.21";"65.00"
"2026-08-17";"00:15";"196";"NT";"258.41";"313.97";"185.67";"128.21";"65.00"
"2026-08-17";"00:20";"196";"NT";"258.41";"313.97";"185.67";"128.21";"65.00"
"2026-08-17";"00:25";"196";"NT";"258.41";"313.97";"185.67";"128.21";"65.00"
"2026-08-17";"00:30";"188.7";"NT";"249.58";"304.16";"178.37";"128.21";"65.00"
"2026-08-17";"00:35";"188.7";"NT";"249.58";"304.16";"178.37";"128.21";"65.00"
"2026-08-17";"00:40";"188.7";"NT";"249.58";"304.16";"178.37";"128.21";"65.00"
"2026-08-17";"00:45";"178.81";"NT";"237.61";"290.86";"168.48";"128.21";"65.00"
"2026-08-17";"00:50";"178.81";"NT";"237.61";"290.86";"168.48";"128.21";"65.00"
"2026-08-17";"00:55";"178.81";"NT";"237.61";"290.86";"168.48";"128.21";"65.00"
"2026-08-17";"01:00";"187.15";"NT";"247.70";"302.07";"176.82";"128.21";"65.00"
"2026-08-17";"01:05";"187.15";"NT";"247.70";"302.07";"176.82";"128.21";"65.00"
"2026-08-17";"01:10";"187.15";"NT";"247.70";"302.07";"176.82";"128.21";"65.00"
"2026-08-17";"01:15";"181.54";"NT";"240.91";"294.53";"171.21";"128.21";"65.00"
"2026-08-17";"01:20";"181.54";"NT";"240.91";"294.53";"171.21";"128.21";"65.00"
"2026-08-17";"01:25";"181.54";"NT";"240.91";"294.53";"171.21";"128.21";"65.00"
"2026-08-17";"01:30";"178.54";"NT";"237.28";"290.50";"168.21";"128.21";"65.00"
"2026-08-17";"01:35";"178.54";"NT";"237.28";"290.50";"168.21";"128.21";"65.00"
"2026-08-17";"01:40";"178.54";"NT";"237.28";"290.50";"168.21";"128.21";"65.00"
"2026-08-17";"01:45";"168.01";"NT";"224.54";"276.34";"157.68";"128.21";"65.00"
"2026-08-17";"01:50";"168.01";"NT";"224.54";"276.34";"157.68";"128.21";"65.00"
"2026-08-17";"01:55";"168.01";"NT";"224.54";"276.34";"157.68";"128.21";"65.00"
"2026-08-17";"02:00";"172.39";"VT";"242.15";"295.91";"162.06";"140.52";"65.00"
"2026-08-17";"02:05";"172.39";"VT";"242.15";"295.91";"162.06";"140.52";"65.00"
"2026-08-17";"02:10";"172.39";"VT";"242.15";"295.91";"162.06";"140.52";"65.00"
"2026-08-17";"02:15";"164.41";"VT";"232.50";"285.18";"154.08";"140.52";"65.00"
"2026-08-17";"02:20";"164.41";"VT";"232.50";"285.18";"154.08";"140.52";"65.00"
"2026-08-17";"02:25";"164.41";"VT";"232.50";"285.18";"154.08";"140.52";"65.00"
"2026-08-17";"02:30";"160.15";"VT";"227.34";"279.45";"149.82";"140.52";"65.00"
"2026-08-17";"02:35";"160.15";"VT";"227.34";"279.45";"149.82";"140.52";"65.00"
"2026-08-17";"02:40";"160.15";"NT";"215.03";"265.77";"149.82";"128.21";"65.00"
"2026-08-17";"02:45";"158.65";"NT";"213.22";"263.76";"148.32";"128.21";"65.00"
"2026-08-17";"02:50";"158.65";"NT";"213.22";"263.76";"148.32";"128.21";"65.00"
"2026-08-17";"02:55";"158.65";"NT";"213.22";"263.76";"148.32";"128.21";"65.00"
"2026-08-17";"03:00";"162.09";"NT";"217.38";"268.38";"151.76";"128.21";"65.00"
"2026-08-17";"03:05";"162.09";"NT";"217.38";"268.38";"151.76";"128.21";"65.00"
"2026-08-17";"03:10";"162.09";"NT";"217.38";"268.38";"151.76";"128.21";"65.00"
"2026-08-17";"03:15";"160.72";"NT";"215.72";"266.54";"150.39";"128.21";"65.00"
"2026-08-17";"03:20";"160.72";"NT";"215.72";"266.54";"150.39";"128.21";"65.00"
"2026-08-17";"03:25";"160.72";"NT";"215.72";"266.54";"150.39";"128.21";"65.00"
"2026-08-17";"03:30";"158.25";"NT";"212.73";"263.22";"147.92";"128.21";"65.00"
"2026-08-17";"03:35";"158.25";"NT";"212.73";"263.22";"147.92";"128.21";"65.00"
"2026-08-17";"03:40";"158.25";"NT";"212.73";"263.22";"147.92";"128.21";"65.00"
"2026-08-17";"03:45";"160.06";"NT";"214.92";"265.65";"149.73";"128.21";"65.00"
"2026-08-17";"03:50";"160.06";"NT";"214.92";"265.65";"149.73";"128.21";"65.00"
"2026-08-17";"03:55";"160.06";"NT";"214.92";"265.65";"149.73";"128.21";"65.00"
"2026-08-17";"04:00";"157.74";"NT";"212.12";"262.53";"147.41";"128.21";"65.00"
"2026-08-17";"04:05";"157.74";"NT";"212.12";"262.53";"147.41";"128.21";"65.00"
"2026-08-17";"04:10";"157.74";"NT";"212.12";"262.53";"147.41";"128.21";"65.00"
"2026-08-17";"04:15";"155.25";"NT";"209.10";"259.19";"144.92";"128.21";"65.00"
"2026-08-17";"04:20";"155.25";"NT";"209.10";"259.19";"144.92";"128.21";"65.00"
"2026-08-17";"04:25";"155.25";"NT";"209.10";"259.19";"144.92";"128.21";"65.00"
"2026-08-17";"04:30";"159.29";"NT";"213.99";"264.62";"148.96";"128.21";"65.00"
"2026-08-17";"04:35";"159.29";"NT";"213.99";"264.62";"148.96";"128.21";"65.00"
"2026-08-17";"04:40";"159.29";"NT";"213.99";"264.62";"148.96";"128.21";"65.00"
"2026-08-17";"04:45";"164";"NT";"219.69";"270.95";"153.67";"128.21";"65.00"
"2026-08-17";"04:50";"164";"NT";"219.69";"270.95";"153.67";"128.21";"65.00"
"2026-08-17";"04:55";"164";"NT";"219.69";"270.95";"153.67";"128.21";"65.00"
"2026-08-17";"05:00";"162.9";"NT";"218.36";"269.47";"152.57";"128.21";"65.00"
"2026-08-17";"05:05";"162.9";"NT";"218.36";"269.47";"152.57";"128.21";"65.00"
"2026-08-17";"05:10";"162.9";"NT";"218.36";"269.47";"152.57";"128.21";"65.00"
"2026-08-17";"05:15";"169.13";"NT";"225.90";"277.85";"158.80";"128.21";"65.00"
"2026-08-17";"05:20";"169.13";"NT";"225.90";"277.85";"158.80";"128.21";"65.00"
"2026-08-17";"05:25";"169.13";"NT";"225.90";"277.85";"158.80";"128.21";"65.00"
"2026-08-17";"05:30";"177.7";"NT";"236.27";"289.37";"167.37";"128.21";"65.00"
"2026-08-17";"05:35";"177.7";"NT";"236.27";"289.37";"167.37";"128.21";"65.00"
"2026-08-17";"05:40";"177.7";"NT";"236.27";"289.37";"167.37";"128.21";"65.00"
"2026-08-17";"05:45";"190.14";"NT";"251.32";"306.09";"179.81";"128.21";"65.00"
"2026-08-17";"05:50";"190.14";"NT";"251.32";"306.09";"179.81";"128.21";"65.00"
"2026-08-17";"05:55";"190.14";"NT";"251.32";"306.09";"179.81";"128.21";"65.00"
"2026-08-17";"06:00";"192.62";"NT";"254.32";"309.43";"182.29";"128.21";"65.00"
"2026-08-17";"06:05";"192.62";"NT";"254.32";"309.43";"182.29";"128.21";"65.00"
"2026-08-17";"06:10";"192.62";"NT";"254.32";"309.43";"182.29";"128.21";"65.00"
"2026-08-17";"06:15";"197.5";"NT";"260.23";"315.99";"187.17";"128.21";"65.00"
"2026-08-17";"06:20";"197.5";"NT";"260.23";"315.99";"187.17";"128.21";"65.00"
"2026-08-17";"06:25";"197.5";"NT";"260.23";"315.99";"187.17";"128.21";"65.00"
"2026-08-17";"06:30";"198.5";"NT";"261.44";"317.33";"188.17";"128.21";"65.00"
"2026-08-17";"06:35";"198.5";"NT";"261.44";"317.33";"188.17";"128.21";"65.00"
"2026-08-17";"06:40";"198.5";"VT";"273.75";"331.01";"188.17";"140.52";"65.00"
"2026-08-17";"06:45";"200.98";"VT";"276.75";"334.35";"190.65";"140.52";"65.00"
"2026-08-17";"06:50";"200.98";"VT";"276.75";"334.35";"190.65";"140.52";"65.00"
"2026-08-17";"06:55";"200.98";"VT";"276.75";"334.35";"190.65";"140.52";"65.00"
"2026-08-17";"07:00";"207";"VT";"284.03";"342.44";"196.67";"140.52";"65.00"
"2026-08-17";"07:05";"207";"VT";"284.03";"342.44";"196.67";"140.52";"65.00"
"2026-08-17";"07:10";"207";"VT";"284.03";"342.44";"196.67";"140.52";"65.00"
"2026-08-17";"07:15";"208.9";"VT";"286.33";"344.99";"198.57";"140.52";"65.00"
"2026-08-17";"07:20";"208.9";"NT";"274.02";"331.32";"198.57";"128.21";"65.00"
"2026-08-17";"07:25";"208.9";"NT";"274.02";"331.32";"198.57";"128.21";"65.00"
"2026-08-17";"07:30";"205";"NT";"269.30";"326.07";"194.67";"128.21";"65.00"
"2026-08-17";"07:35";"205";"NT";"269.30";"326.07";"194.67";"128.21";"65.00"
"2026-08-17";"07:40";"205";"NT";"269.30";"326.07";"194.67";"128.21";"65.00"
"2026-08-17";"07:45";"199.7";"NT";"262.89";"318.95";"189.37";"128.21";"65.00"
"2026-08-17";"07:50";"199.7";"NT";"262.89";"318.95";"189.37";"128.21";"65.00"
"2026-08-17";"07:55";"199.7";"NT";"262.89";"318.95";"189.37";"128.21";"65.00"
"2026-08-17";"08:00";"212.08";"NT";"277.87";"335.59";"201.75";"128.21";"65.00"
"2026-08-17";"08:05";"212.08";"NT";"277.87";"335.59";"201.75";"128.21";"65.00"
"2026-08-17";"08:10";"212.08";"NT";"277.87";"335.59";"201.75";"128.21";"65.00"
"2026-08-17";"08:15";"208.46";"NT";"273.49";"330.72";"198.13";"128.21";"65.00"
"2026-08-17";"08:20";"208.46";"NT";"273.49";"330.72";"198.13";"128.21";"65.00"
"2026-08-17";"08:25";"208.46";"NT";"273.49";"330.72";"198.13";"128.21";"65.00"
"2026-08-17";"08:30";"213.55";"NT";"279.65";"337.57";"203.22";"128.21";"65.00"
"2026-08-17";"08:35";"213.55";"NT";"279.65";"337.57";"203.22";"128.21";"65.00"
"2026-08-17";"08:40";"213.55";"NT";"279.65";"337.57";"203.22";"128.21";"65.00"
"2026-08-17";"08:45";"202.71";"NT";"266.53";"322.99";"192.38";"128.21";"65.00"
"2026-08-17";"08:50";"202.71";"NT";"266.53";"322.99";"192.38";"128.21";"65.00"
"2026-08-17";"08:55";"202.71";"NT";"266.53";"322.99";"192.38";"128.21";"65.00"
"2026-08-17";"09:00";"212.68";"NT";"278.59";"336.40";"202.35";"128.21";"65.00"
"2026-08-17";"09:05";"212.68";"NT";"278.59";"336.40";"202.35";"128.21";"65.00"
"2026-08-17";"09:10";"212.68";"NT";"278.59";"336.40";"202.35";"128.21";"65.00"
"2026-08-17";"09:15";"205.33";"NT";"269.70";"326.52";"195.00";"128.21";"65.00"
"2026-08-17";"09:20";"205.33";"NT";"269.70";"326.52";"195.00";"128.21";"65.00"
"2026-08-17";"09:25";"205.33";"NT";"269.70";"326.52";"195.00";"128.21";"65.00"
"2026-08-17";"09:30";"196.96";"NT";"259.57";"315.26";"186.63";"128.21";"65.00"
"2026-08-17";"09:35";"196.96";"NT";"259.57";"315.26";"186.63";"128.21";"65.00"
"2026-08-17";"09:40";"196.96";"NT";"259.57";"315.26";"186.63";"128.21";"65.00"
"2026-08-17";"09:45";"183.15";"NT";"242.86";"296.70";"172.82";"128.21";"65.00"
"2026-08-17";"09:50";"183.15";"NT";"242.86";"296.70";"172.82";"128.21";"65.00"
"2026-08-17";"09:55";"183.15";"NT";"242.86";"296.70";"172.82";"128.21";"65.00"
"2026-08-17";"10:00";"190.77";"NT";"252.08";"306.94";"180.44";"128.21";"65.00"
"2026-08-17";"10:05";"190.77";"NT";"252.08";"306.94";"180.44";"128.21";"65.00"
"2026-08-17";"10:10";"190.77";"NT";"252.08";"306.94";"180.44";"128.21";"65.00"
